"author","comment","commentsCount","pageUrl","replyCount","title","type","videoID","voteCount"
"@Bennix","SEGERA isi Petisi Mendukung purbaya REDENOMINASI :
Link : https://c.org/Y7vyLrjp6d","6358","https://youtu.be/GRA-0D9PojY?si=RNrPNibbLbVH9BRT","339","REDENOMINASI PURBAYA! Uang Rp1000 Jadi Rp1, Ribuan Triliun Akan Kembali ke Negara!","comment",,"1000"
"@SamsFirdaus-lz3it","Kasian duit2 para koruptor nggak akan berlaku yang disimpan di banker.","6358","https://youtu.be/GRA-0D9PojY?si=RNrPNibbLbVH9BRT","0","REDENOMINASI PURBAYA! Uang Rp1000 Jadi Rp1, Ribuan Triliun Akan Kembali ke Negara!","comment",,"0"
"@Arew-hv1nk","gaskeuunnn..pa purbaya","6358","https://youtu.be/GRA-0D9PojY?si=RNrPNibbLbVH9BRT","0","REDENOMINASI PURBAYA! Uang Rp1000 Jadi Rp1, Ribuan Triliun Akan Kembali ke Negara!","comment",,"0"
"@BaritoputerariauGreatsupporter","2 RUPIAH setara Rp.2.000,- 5 RUPIAH setara Rp.5.000,-  10 RUPIAH setara Rp.10.000,-  20 RUPIAH setara Rp.20.000,-  50 RUPIAH setara  Rp.50.000 100 RUPIAH setara Rp.100.000,-  atau yang lebih Extreme 1 RUPIAH setara Rp.100.000,-  jadi kalau punya uang 50 Cent saja setara Rp.50.000,- artinya Kalau 💯 Rupiah setara Rp.10.000.000,- Jadi nilai mata uangnya tidak berubah,Hanya Angkanya di sederhanakan ,Nggak ribet lagi","6358","https://youtu.be/GRA-0D9PojY?si=RNrPNibbLbVH9BRT","0","REDENOMINASI PURBAYA! Uang Rp1000 Jadi Rp1, Ribuan Triliun Akan Kembali ke Negara!","comment",,"1"
"@sicimolgemol","Jangan lupa kasih tau sanak saudara teman atau keluarga juga ya guys kalo langkah ini baik diambil.","6358","https://youtu.be/GRA-0D9PojY?si=RNrPNibbLbVH9BRT","0","REDENOMINASI PURBAYA! Uang Rp1000 Jadi Rp1, Ribuan Triliun Akan Kembali ke Negara!","comment",,"0"
"@firmansyah9625","Bantu share aja bang. Biar masyarakat pada pinter","6358","https://youtu.be/GRA-0D9PojY?si=RNrPNibbLbVH9BRT","0","REDENOMINASI PURBAYA! Uang Rp1000 Jadi Rp1, Ribuan Triliun Akan Kembali ke Negara!","comment",,"0"
"@hildand","Sangat setuju kalu bisa segera redenominasi bilan drpam","6358","https://youtu.be/GRA-0D9PojY?si=RNrPNibbLbVH9BRT","0","REDENOMINASI PURBAYA! Uang Rp1000 Jadi Rp1, Ribuan Triliun Akan Kembali ke Negara!","comment",,"0"
"@BaritoputerariauGreatsupporter","1 RUPIAH sama dengan Rp.1.000,-  ,50 Cent + 50 Cent = 1 RUPIAH","6358","https://youtu.be/GRA-0D9PojY?si=RNrPNibbLbVH9BRT","0","REDENOMINASI PURBAYA! Uang Rp1000 Jadi Rp1, Ribuan Triliun Akan Kembali ke Negara!","comment",,"1"
"@slamet0541","Redominasi berfihak pada rakyat kecil orang2 kaya bingung dg redominasi karena kekayaanya rakyat sangat setuju redominasi","6358","https://youtu.be/GRA-0D9PojY?si=RNrPNibbLbVH9BRT","0","REDENOMINASI PURBAYA! Uang Rp1000 Jadi Rp1, Ribuan Triliun Akan Kembali ke Negara!","comment",,"0"
"@widodosemeru8258","Saya sangat mendukung REDENOMINASI agar ekonomi lndonesia lebih maju lagi, semoga dg REDENOMINASI ini usaha saya bisa lebih eksis kedepanya.","6358","https://youtu.be/GRA-0D9PojY?si=RNrPNibbLbVH9BRT","0","REDENOMINASI PURBAYA! Uang Rp1000 Jadi Rp1, Ribuan Triliun Akan Kembali ke Negara!","comment",,"0"
